business_name,category,address,phone,email,email_found,email_source,notes
The Ravenous Pig,restaurant,"565 W Fairbanks Ave, Winter Park, FL 32789",(407) 628-2333,info@theravenouspig.com,yes,website contact page,High-end gastropub. Michelin rated.
Mamazzita Gastrobar,restaurant,"1949 W Sand Lake Rd, Orlando, FL 32809",(689) 867-0201,mamazzitalounge@icloud.com,yes,business listing,Active on Facebook/OpenTable
Express Orlando Plumbing & Drain Clean,plumbing,"10100 International Dr, Orlando, FL 32821",(407) 214-3024,orlandoplumbingdrain@outlook.com,yes,business directory,Has website orlandoplumbingdrain.com
Orlando Water Heater Pros,plumbing,"7149 Wooded Village Ln, Orlando, FL 32835",(407) 710-6272,,no,,No email found - Facebook presence
J&G Plumbing,plumbing,"316 N Parramore Ave Suite 378, Orlando, FL 32801",(407) 759-3391,,no,,No email found - limited online presence
Bryan Plumbing Inc,plumbing,"3804 John Young Pkwy #2, Orlando, FL 32804",(407) 299-9006,jenren75@cfl.rr.com,yes,business listing,Also: joeyfatherof2@yahoo.com
FRED Electrical Residential Services,electrician,"6452 Vineland Rd unit 106, Orlando, FL 32819",(571) 982-9312,,no,,No email found - limited online presence
Assure Electrical Orlando,electrician,"4502 35th St #122, Orlando, FL 32811",(689) 219-3080,,no,,No email found - limited online presence
Orlando's Electric Handyman LLC,electrician,"703 Tournament Ln, Kissimmee, FL 34759",,,no,,No phone listed - very limited online presence
Farina Electric Inc,electrician,"2622 Taft Ave, Orlando, FL 32804",(407) 538-2473,,no,,Has website farina-electric.com - no email listed
1st Electricians,electrician,"1650 N Mills Ave, Orlando, FL 32803",(407) 470-1559,,no,,No email found
Orlando HVAC Air Conditioning,hvac,"6000 N Orange Blossom Trl, Orlando, FL 32808",(689) 698-5010,,no,,No email found - limited online presence
Orlando HVAC Services,hvac,"1307 Edgewater Dr, Orlando, FL 32804",(321) 326-9050,,no,,No email found
Premier Orlando HVAC Contractor Crew,hvac,"1314 Romano Ave, Orlando, FL 32807",(407) 495-3515,,no,,No email found
Orlando Air Conditioning,hvac,"217 Ernestine St, Orlando, FL 32801",(239) 539-7986,,no,,No email found - very limited presence
Orlando Heating And Air Conditioning,hvac,"2144 Whisper Lakes Blvd, Orlando, FL 32837",(407) 391-7342,,no,,No email found
AC Tropical Contractor LLC,hvac,"6509 Yucatan Dr, Orlando, FL 32807",(321) 221-0404,contact.us@actropicalcontractor.com,yes,company website,Has full website actropicalcontractor.com
Nations Landscaping LLC,landscaping,"4915 Lake Gatlin Woods Ct, Orlando, FL 32806",(407) 222-4646,nationslandscaping1@gmail.com,yes,business directory,Has website nationslandscaping.com
Services Orlando Inc,cleaning/landscaping,"4749 S Orange Ave, Orlando, FL 32806",,no,,No phone or email - very limited online presence
Imperial AC Repair Orlando,hvac,"946 Lee Rd #125, Orlando, FL 32804",(689) 263-9764,,no,,No email found
City Beautiful Painter,painting,"Orlando, FL 32839",(407) 255-5365,,no,,No email found - BBB listed
Orlando Residential & Commercial Painters,painting,"555 Northlake Blvd, Altamonte Springs, FL 32701",(407) 777-4010,orlando@orlandoresidentialpainters.com,yes,company website,Has full website orlandoresidentialpainters.com
Orlando Handyman Services / ProHandymanNow,handyman,"1701 W Wetherbee Rd, Orlando, FL 32837",(407) 346-5405,,no,,Has website prohandymannow.com - no email listed publicly
R&S Handyman Services LLC,handyman,"7737 Greytwig Ln, Orlando, FL 32818",(407) 591-9301,rnshandymanservices@gmail.com,yes,business listing,Has website r-s-handyman-services.com
Rescue Automotive,auto_repair,"10531 E Colonial Dr, Orlando, FL 32817",(407) 658-9040,,no,,No email found - reviews mention owner Abdel
