business_name,category,phone,whatsapp_number,variant,claim_token,claim_url,msg1_sent,msg2_sent,msg3_sent,replied_at,reply_type,claimed_at,status,notes
The Ravenous Pig,restaurant,(407) 628-2333,+14076282333,A,cca44955-bf9b-4ced-a049-d14940cc960c,https://locosite.io/claim/cca44955-bf9b-4ced-a049-d14940cc960c,,,,,,,,
Mamazzita Gastrobar,restaurant,(689) 867-0201,+16898670201,A,58ad4657-4c79-4c6c-9312-c0f27d9ebe89,https://locosite.io/claim/58ad4657-4c79-4c6c-9312-c0f27d9ebe89,,,,,,,,
Express Orlando Plumbing & Drain Clean,plumbing,(407) 214-3024,+14072143024,B,742b068c-bede-4eac-93a2-d2052a632ead,https://locosite.io/claim/742b068c-bede-4eac-93a2-d2052a632ead,,,,,,,,
Orlando Water Heater Pros,plumbing,(407) 710-6272,+14077106272,B,3655d436-260c-4d06-a8a4-6e21ba2ce05e,https://locosite.io/claim/3655d436-260c-4d06-a8a4-6e21ba2ce05e,,,,,,,,
J&G Plumbing,plumbing,(407) 759-3391,+14077593391,B,f1bc1e9e-7c38-42c9-8051-61dd1b8b3bf3,https://locosite.io/claim/f1bc1e9e-7c38-42c9-8051-61dd1b8b3bf3,,,,,,,,
Bryan Plumbing Inc,plumbing,(407) 299-9006,+14072999006,B,725654a1-e510-42c4-b08b-14772f0d7c54,https://locosite.io/claim/725654a1-e510-42c4-b08b-14772f0d7c54,,,,,,,,
FRED Electrical Residential Services,electrician,(571) 982-9312,+15719829312,B,2ef52966-7384-4c04-8e20-edb3805a2729,https://locosite.io/claim/2ef52966-7384-4c04-8e20-edb3805a2729,,,,,,,,
Assure Electrical Orlando,electrician,(689) 219-3080,+16892193080,B,f27c2a1c-51a3-472b-9f94-fecd2745690f,https://locosite.io/claim/f27c2a1c-51a3-472b-9f94-fecd2745690f,,,,,,,,
"Farina Electric, Inc.",electrician,(407) 538-2473,+14075382473,B,a74fead4-2a26-4569-a9ea-6bef88769e29,https://locosite.io/claim/a74fead4-2a26-4569-a9ea-6bef88769e29,,,,,,,,
1st Electricians,electrician,(407) 470-1559,+14074701559,B,1560801a-3d54-427b-9ce4-04d3ad5a53d3,https://locosite.io/claim/1560801a-3d54-427b-9ce4-04d3ad5a53d3,,,,,,,,
Orlando HVAC Air Conditioning,hvac,(689) 698-5010,+16896985010,B,7e8965ae-562c-4565-8142-19a4c9092529,https://locosite.io/claim/7e8965ae-562c-4565-8142-19a4c9092529,,,,,,,,
Orlando HVAC Services,hvac,(321) 326-9050,+13213269050,B,491ff799-a743-48ce-b185-8ce0d81c76a7,https://locosite.io/claim/491ff799-a743-48ce-b185-8ce0d81c76a7,,,,,,,,
Premier Orlando HVAC Contractor Crew,hvac,(407) 495-3515,+14074953515,B,cce989eb-e87c-4f3f-84f6-e8f0bc330518,https://locosite.io/claim/cce989eb-e87c-4f3f-84f6-e8f0bc330518,,,,,,,,
Orlando Air Conditioning,hvac,(239) 539-7986,+12395397986,B,b66565bd-1496-4652-a35e-b88bb3463ddf,https://locosite.io/claim/b66565bd-1496-4652-a35e-b88bb3463ddf,,,,,,,,
Orlando Heating And Air Conditioning,hvac,(407) 391-7342,+14073917342,B,9b7e567d-58a4-4f09-b46c-f34f0c3b9514,https://locosite.io/claim/9b7e567d-58a4-4f09-b46c-f34f0c3b9514,,,,,,,,
"AC Tropical Contractor, LLC",establishment,(321) 221-0404,+13212210404,B,86b85613-8d53-4f6f-876d-0af94080adfc,https://locosite.io/claim/86b85613-8d53-4f6f-876d-0af94080adfc,,,,,,,,
"Nations Landscaping, LLC",establishment,(407) 222-4646,+14072224646,B,8650e34f-2b2d-41a5-b0a5-73461a82567a,https://locosite.io/claim/8650e34f-2b2d-41a5-b0a5-73461a82567a,,,,,,,,
Imperial AC Repair Orlando,hvac,(689) 263-9764,+16892639764,B,e8ca4516-b646-4c7b-be2f-6c60a09a2dd5,https://locosite.io/claim/e8ca4516-b646-4c7b-be2f-6c60a09a2dd5,,,,,,,,
City Beautiful Painter,painting,(407) 255-5365,+14072555365,B,8d2b9b37-7c76-458c-82d3-e8078a2754da,https://locosite.io/claim/8d2b9b37-7c76-458c-82d3-e8078a2754da,,,,,,,,
Orlando Residential & Commercial Painters,painting,(407) 777-4010,+14077774010,B,dccd8533-0fed-403a-9987-3be718966d57,https://locosite.io/claim/dccd8533-0fed-403a-9987-3be718966d57,,,,,,,,
Orlando Handyman Services | Home Repairs & Installations | ProHandymanNow,establishment,(407) 346-5405,+14073465405,B,52745007-f8cb-4e46-b682-f5c2b06d5825,https://locosite.io/claim/52745007-f8cb-4e46-b682-f5c2b06d5825,,,,,,,,
R&S Handyman Services LLC,handyman,(407) 591-9301,+14075919301,B,0208c4f2-c25d-48d6-a6ec-4499123e3aec,https://locosite.io/claim/0208c4f2-c25d-48d6-a6ec-4499123e3aec,,,,,,,,
Rescue Automotive,auto_repair,(407) 658-9040,+14076589040,B,1bb428d8-bd28-49a1-be58-7c6925583fad,https://locosite.io/claim/1bb428d8-bd28-49a1-be58-7c6925583fad,,,,,,,,
Black Sheep Automotive LLC,auto_repair,(321) 262-4317,+13212624317,B,44938107-61b8-4e5c-9d60-09fe29b9f2b9,https://locosite.io/claim/44938107-61b8-4e5c-9d60-09fe29b9f2b9,,,,,,,,
Pat's Mobile Auto Repair LLC Mechanic,car_repair,(561) 504-5452,+15615045452,B,49c48d4b-279c-421a-9d8b-5c6471dfbad1,https://locosite.io/claim/49c48d4b-279c-421a-9d8b-5c6471dfbad1,,,,,,,,
Family D Auto Repair,auto_repair,(407) 418-1221,+14074181221,B,241214c8-d04e-42d0-a1a3-c726742de550,https://locosite.io/claim/241214c8-d04e-42d0-a1a3-c726742de550,,,,,,,,
